Instrument,Photons,Correlation,Significance,P_value,RANSAC_slope,RANSAC_inliers,RANSAC_inlier_ratio,Significant
Swift_BAT,999,-0.009162846738467366,0.28933184308070103,0.776,-59.13381501607342,515,0.5155155155155156,False
Swift_GBM,2000,-0.00894873668076276,0.40001553765375886,0.696,-699.9567950629311,955,0.4775,False
LHAASO,500,-0.03354322475151301,0.74896917471266,0.461,0.006394552237440466,297,0.594,False
Combined,3502,-0.005469492560390474,0.3235843837094605,0.778,0.234836332246372,1816,0.5185608223872074,False
