ENERGY,TIME,RA,DEC
0.51745264,488253437.3185179,319.08356,0.5373232
0.25426242,488253446.14458674,322.927,6.6214724
0.8913506999999999,488253452.3731695,317.1048,0.28997952
0.42074016999999997,488253452.6020016,315.19733,0.00041071826
0.17911406,488253454.91091686,319.29758,2.784141
0.14455490000000001,488253459.84281546,316.17664,1.082583
0.32704645,488253460.7153009,318.9496,1.387428
0.23468112,488253483.1592011,316.6973,0.38190052
0.2747395,488253494.75168526,320.29184,0.91097677
1.5903837,488253517.9027846,319.69263,1.2202775
0.61292645,488253518.3837807,319.29755,5.6161175
0.7964720999999999,488253523.95572734,322.31744,6.1581664
0.13188431,488253542.9279448,322.56204,1.6370085
0.33236475000000004,488258986.60005546,318.63757,4.6552043
0.18733806,488259043.76163816,317.1622,0.84497225
0.5512984,488259053.1477144,320.8168,7.5486927
0.21129176000000002,488259060.145148,318.57126,3.043071
0.20796303,488259067.9629796,320.78064,0.05773115
0.15202153000000002,488259095.0956568,320.8655,3.6134074
0.2383008,488259099.8687035,321.4172,8.165825
0.18483408,488259111.4361706,319.9552,3.3130255
0.35103789999999996,488259129.1295749,319.37604,1.6833972
0.16157858,488259179.2856238,316.42252,1.6356697
0.11860486,488259181.4696341,321.2881,0.5964329
0.42432843000000003,488259206.06528246,321.62357,6.8720717
0.16330967999999998,488259215.7637113,323.03427,3.3764408
0.5855710000000001,488259220.8023875,316.87228,2.4784272
0.17216444,488259222.0062485,321.324,3.349312
0.15323445000000002,488259244.3438769,318.7051,1.0754294
0.5954219000000001,488259253.2504167,320.16183,0.76960003
0.28024740000000004,488259253.547892,320.30673,3.979686
0.39500595,488259286.4218035,321.77274,3.6041884
0.39571585,488261512.93358064,322.93063,3.280471
0.762294,488264817.7248424,322.93094,9.165984
0.36932477,488264843.37854975,320.55994,2.6808023
0.6029184,488264894.2272804,316.57474,0.47184277
0.12949170000000002,488264898.06665134,321.56027,2.6048713
0.5277341,488264900.474731,317.1391,0.6640446
0.7115195999999999,488264912.71959215,321.0054,3.151414
0.25788876,488264935.5522388,317.37036,1.2720497
0.61428174,488264938.1157453,321.50082,0.8539176
0.81506335,488264960.4952756,319.44095,6.0336475
0.9536575,488264980.8858603,322.00296,2.0503862
0.2900705,488265002.51065785,320.99207,6.137299
0.32639508,488265002.6577213,321.5887,7.7200017
0.21097043,488265022.96078223,320.58688,5.256699
0.7574252300000001,488267276.9125361,321.8895,2.9751859
0.2618629,488270419.37449217,316.64505,1.5334833
0.11365077,488270472.0384888,321.67358,2.7235146
0.14462091000000002,488270511.2405539,318.74863,2.818982
0.17778407000000002,488270540.2396349,318.77563,4.0294123
0.15718106,488270553.8393957,316.68665,1.0786326
0.15775519,488270576.0868104,318.63867,4.8359194
0.14999807999999998,488270577.7735236,323.2817,8.972932
0.6199826,488270596.7494539,317.63824,3.063848
0.6814959,488270688.692757,319.92688,1.5890023
0.38295297,488270726.52016354,321.78833,7.2261453
1.5235986000000001,488270745.3597126,321.44067,7.8541903
0.41690735,488276174.2270465,316.6949,0.9893536
0.21099083999999999,488276238.4925796,318.8022,0.0794939
0.16713399999999998,488276290.6638802,316.42535,0.21001425
0.19187263,488276299.573908,317.18573,1.1143979
0.71390967,488276316.8261666,317.8235,3.5204554
0.48687723,488276325.2742089,317.62207,0.9054672
0.27351571999999996,488276332.42105,316.92377,0.31236413
0.6044925,488276332.5711482,320.96106,4.4351363
0.15638448,488276333.0441582,319.2055,3.2390666
0.9100143,488276376.7455307,319.7534,2.7485387
0.8698277600000001,488276432.6518434,322.4697,3.8586335
0.40834064000000003,488276438.9116357,322.97778,10.714708
0.21701120000000002,488276442.65853184,322.28714,8.716353
1.6563285,488276446.144425,321.65265,6.9924583
0.22182976,488276497.6408512,323.42795,8.744215
0.24148947,488278655.2036042,320.14163,6.8018627
0.38409933,488281844.6195438,317.3862,0.7916301
0.88711316,488281872.59507096,317.54935,0.9320411
0.15026947000000002,488281898.523236,315.4784,0.050347365
0.14576013000000002,488281946.8253962,318.80685,1.6544707
0.29261084,488281980.165462,319.1079,3.513832
0.37996072,488281982.26954347,315.55884,0.20767917
0.43833566,488281995.68532526,318.11807,2.8572588
0.2370554,488281995.72339535,322.67,6.402553
0.2134003,488282001.1204197,320.16638,0.17032148
0.20847931,488282017.9431438,321.51376,7.319369
0.23653477,488282028.5576177,319.13992,1.4232343
0.33875742000000003,488282035.8732202,317.0823,2.127228
0.29653955000000004,488282079.9109129,322.43307,1.5859249
0.39873355,488282088.0908087,323.3501,8.146703
1.8003247,488282092.2332853,320.17392,0.96613055
0.15995203,488282101.8740255,320.79376,2.882685
2.911918,488282129.8134481,318.82007,3.5482094
0.3775776,488282140.1958296,322.602,3.371727
0.20502833999999998,488282142.3139373,322.24396,8.095853
0.25493062,488282156.94488513,320.8008,5.0695534
0.18409132,488282162.9205385,322.57993,5.500202
0.73299945,488282164.2649571,320.94318,8.195433
0.284432,488287640.4752449,317.19977,2.5420952
0.1141543,488287667.6681156,319.05795,5.0245895
1.7005891,488287679.31258416,320.38562,0.8931837
0.3179636,488287680.26834655,319.94492,3.2630165
0.11384430999999999,488287682.607494,318.4259,1.0369962
0.2200266,488287690.7423567,321.30283,3.4969788
0.17303961,488287700.6758831,319.1222,3.2603416
