ENERGY,TIME,RA,DEC
0.15952251999999997,275631676.74852365,1.6729662,-79.778534
0.1362106,275632134.96860665,0.006649877,-79.442795
0.40389339999999996,275632401.34368294,0.4727881,-80.39366
0.6982355,275632505.8779564,2.2912965,-79.80892
0.31474377,275632637.8790698,5.5175447,-80.77114
0.25002943,275632698.98549694,5.9380417,-80.3529
1.2736536,275633387.66091406,4.4116235,-80.64316
0.5505725,275633513.18737155,6.012668,-79.95509
0.12691158,275633630.2665522,0.25110307,-80.7558
0.19253268,275633747.0842126,3.504043,-79.95166
0.25434998999999997,275633797.72475815,0.60470253,-80.22535
0.17974621999999998,275638137.1103572,0.8143465,-80.28836
0.13057672,275638170.4165593,8.905754,-80.33998
1.1962338,275638187.36126137,5.0455923,-80.431206
0.10573948,275638210.67423075,5.6783214,-80.137314
0.1337001,275638245.3902987,3.0829065,-79.2994
0.78874963,275638252.10096353,3.5237923,-79.74479
0.25198677,275638258.3321944,0.3309284,-79.66534
0.6030678,275638260.9563584,2.0777614,-79.37767
0.10211485000000001,275638261.5798792,5.976959,-79.97338
0.7653984,275638273.4859115,4.943261,-80.35812
0.14580658,275638375.17527497,0.55471975,-79.009
0.20589812000000002,275638558.4399181,0.2770627,-79.10296
0.21295837,275638581.64010304,2.1319172,-80.28068
0.3387638,275638643.34824026,0.7399073,-79.288765
0.50132202,275638646.02879345,5.992473,-80.58834
0.14457277999999998,275638818.8561253,3.7427924,-81.0798
0.11612823,275638826.797775,4.368226,-79.5796
0.2662269,275639214.1825072,4.49135,-80.29401
0.10710460999999999,275639264.0561334,1.1132425,-80.14105
0.16567464,275639309.751937,7.95081,-80.5664
0.16622519,275639332.74716866,2.7842224,-79.57106
0.7713714,275639456.73784816,1.7042887,-79.38576
1.9633992,275639500.6101445,0.26635507,-79.9934
0.45892923,275639523.8632644,1.4109367,-79.10288
6.7866670000000004,275639532.09970933,1.4939125,-79.4436
0.47993349999999996,275643820.2684318,5.091306,-80.72285
0.8175090300000001,275643866.43827546,2.2814288,-81.05051
0.53689685,275643885.1715274,5.795313,-80.91452
3.0261277,275643899.97883767,1.4168696,-80.990074
0.40797668,275643915.2007235,9.075263,-80.634125
1.6361434,275643917.90259033,0.82019025,-79.371704
0.24150214,275643943.4159288,2.3651257,-80.34711
0.619688,275643944.580833,2.8222165,-80.30683
0.55789453,275643953.8995858,3.0047019,-80.29151
0.31673579999999996,275643959.0808255,6.0074277,-79.8629
0.21334298999999998,275643983.73256767,0.732198,-79.58325
0.33175464,275644080.7241668,5.329196,-79.8262
0.4382269,275644122.7839431,5.8420134,-79.985954
0.14319843000000002,275644133.94171494,5.8894053,-79.846634
0.25198036,275644133.9761871,1.3045813,-80.34111
0.29939108,275644156.565975,0.9638133,-78.968605
0.1592191,275644182.7364515,9.906481,-80.700325
0.36292123,275644184.9190455,11.509009,-80.468506
0.9694338,275644209.7401421,5.27159,-80.16362
