index,source_name,ra,dec,glon,glat,energy_flux,flux_uncertainty,significance,significance_peak,variability_index,frac_variability,spectrum_type,pl_index,pl_flux_density,class1,class2,assoc1,assoc2,flags
7024,4FGL J2321.9+3204,350.4779,32.0737,101.68581,-27.077976,2.2836361e-11,8.642849e-13,60.029102,44.72753,1460.8877,1.0297147,LogParabola,2.2729967,4.0624006e-12,fsrq,,B2 2319+31,,0
7025,4FGL J2321.9+2734,350.492,27.5717,99.697105,-31.23183,1.3129054e-11,7.0718344e-13,36.10243,22.330715,389.68854,0.8533819,LogParabola,2.2793775,1.93003e-12,fsrq,,4C +27.50,,0
7026,4FGL J2321.9-4842,350.4963,-48.7082,335.6758,-62.342106,1.8029239e-12,3.483735e-13,7.264995,-inf,13.839293,0.0,PowerLaw,2.1471987,1.6905236e-14,,,,,18
7027,4FGL J2322.1+4440,350.5334,44.6736,106.663086,-15.358677,2.9636e-12,4.794369e-13,6.794413,-inf,12.783904,0.031038139,PowerLaw,2.546409,3.2791472e-13,fsrq,,B3 2319+444,,2
7028,4FGL J2322.3+2248,350.5824,22.8127,97.474655,-35.61568,7.3931855e-13,2.0286468e-13,4.883836,-inf,11.186281,0.0,LogParabola,2.06075,9.978172e-15,,,,,0
7029,4FGL J2322.4-2906,350.6197,-29.1077,21.948597,-70.31469,1.3395137e-12,2.9758143e-13,4.6101646,-inf,13.689296,0.0,PowerLaw,2.4447927,1.355864e-13,bcu,,PMN J2322-2909,,0
7030,4FGL J2322.6-0735,350.6576,-7.5907,71.709564,-61.284405,4.5993313e-12,4.923543e-13,13.738397,9.541576,71.53142,0.73142534,PowerLaw,2.4362943,2.943001e-13,bcu,,PMN J2322-0736,,0
7031,4FGL J2322.7+3436,350.6849,34.6125,102.9235,-24.789576,4.6065556e-12,4.0894352e-13,17.216204,-inf,19.025211,0.19004568,PowerLaw,2.008092,4.6108804e-14,bll,,TXS 2320+343,,0
7032,4FGL J2322.8-4916,350.7077,-49.2725,334.59583,-62.052395,5.3247936e-12,5.1142787e-13,26.74058,11.36845,52.994667,0.45397294,LogParabola,1.9314321,9.96177e-14,bll,,SUMSS J232254-491629,,0
7033,4FGL J2322.8-4221,350.7091,-42.3543,347.0345,-66.39927,7.897448e-13,2.2330908e-13,5.548983,-inf,14.325805,0.0,PowerLaw,1.6127232,8.660736e-16,bll,,1RXS J232241.0-422040,,0
7034,4FGL J2323.1+2040,350.7911,20.6768,96.57991,-37.63661,2.0642223e-12,3.8061056e-13,6.666877,-inf,10.0060215,0.0,PowerLaw,2.2474189,4.2642468e-14,,,,,2
